filename,extension,detected_type,file_size_kb,width,height,has_exif,has_gps,latitude,longitude,camera_make,camera_model,datetime_original,page_count,sha256_hash
0fc2240d9d42ed23d06287402762f6e6.pdf,.pdf,pdf,210.55,,,False,False,,,,,,2,5c5f77eb76ff2f36...
0fd1c7d8fd14e9dc6afee1e6ced9b2cb.pdf,.pdf,pdf,122.83,,,False,False,,,,,,1,634fb81bbaadc19c...
0ff2a6049ea341a3aca2175465bbb072.jpg,.jpg,jpg,104.68,1000,1400,False,False,,,,,,,bcc454565201a835...
1065d382ccf0ffcde7d0cb34afc4a611.pdf,.pdf,pdf,350.29,,,False,False,,,,,,1,654d71381f850933...
106d00550527b2a855ccad42d615525b.jpg,.jpg,jpg,26.97,500,692,False,False,,,,,,,546a762c95bc51e0...
10874f10663fe4e508d865abc9413c58.jpg,.jpg,jpg,34.45,498,556,False,False,,,,,,,633f6a6e94f36cca...
108b045f62ac761e9c9a8b89b7a30250.jpg,.jpg,jpg,58.5,696,843,False,False,,,,,,,aca5b53451dca158...
108fb172af0d9928e4f9fde12262c29b.jpg,.jpg,jpg,25.39,488,686,False,False,,,,,,,d841d88667887007...
10a0f49585d51d4063df29a141d8f13b.png,.png,png,1566.47,800,1000,False,False,,,,,,,0348db9de23f4f0c...
10a6d44e5e74997b2cf4adfd642f81e5.pdf,.pdf,pdf,317.69,,,False,False,,,,,,1,565d421ae0fbd75d...
10a85382091242a85f9ba782090b3d76.pdf,.pdf,pdf,410.54,,,False,False,,,,,,1,5ae6abc1c74edf95...
10b436dc0e25ac5171fe4c547bb1af61.jpg,.jpg,jpg,102.08,1309,686,False,False,,,,,,,1b57871ef7951bcd...
10c39950ccfcb2060d0c1eb0650d116d.pdf,.pdf,pdf,62.61,,,False,False,,,,,,1,bdbe2b7cc663a1af...
10e3b086e5779181fbfa7efd67d7419e.pdf,.pdf,pdf,273.8,,,False,False,,,,,,1,41a67089b7d0b827...
10f532e6d6f87a500c5793a53e601fb9.pdf,.pdf,pdf,225.83,,,False,False,,,,,,1,6002e9e7a7a8ceec...
10fc46392d54207fe7777ae96f9ed572.jpg,.jpg,jpg,47.49,665,692,False,False,,,,,,,77c303791108573b...
11248a3f0bdc4266fc243ce4d9c8f519.pdf,.pdf,pdf,292.9,,,False,False,,,,,,1,08f8eb539f805211...
1135f2b13b97e4b2697607d101bef924.jpg,.jpg,jpg,20.01,576,692,False,False,,,,,,,d371d3a3c3a67450...
113ecaf9810e00e8523be39cd2ff838a.pdf,.pdf,pdf,301.97,,,False,False,,,,,,1,1362c550fffdc8dc...
1144f8fb2a316b0bb953d2b367170a34.pdf,.pdf,pdf,423.88,,,False,False,,,,,,1,188e6aacff0a0da5...
114af3bf6c10a5da2723c507f501fb3f.pdf,.pdf,pdf,186.71,,,False,False,,,,,,1,fc50b5590df08855...
1162ddc7e22132f0108c50459f7cfdc3.png,.png,png,1308.18,800,998,False,False,,,,,,,3291cb315d11f11f...
116df4bb19a1e9db06946c5d7acef75b.jpg,.jpg,jpg,27.82,552,692,False,False,,,,,,,f2dc2da785db5e42...
117b27aedea24b1013d3aac8804211a6.jpg,.jpg,jpg,41.76,894,686,False,False,,,,,,,d3efef489348b4b9...
11a60e163bd8db53a9d3eeb83da874cd.pdf,.pdf,pdf,224.07,,,False,False,,,,,,2,924599d86abd3c23...
11ab08fc784f37742d130b0145b1149e.pdf,.pdf,pdf,189.53,,,False,False,,,,,,1,a34a8298087ddfcd...
11c831063a0d7a6617c4edac433f47cb.jpg,.jpg,jpg,17.66,379,692,False,False,,,,,,,e66732c718e0f9ec...
11c93eeb4996dae14ea4fb2c5db73d12.pdf,.pdf,pdf,321.37,,,False,False,,,,,,2,87580f610c086b57...
11d1195ef26496ca4f0b48e18a3efc67.jpg,.jpg,jpg,30.84,540,692,False,False,,,,,,,bf168a98dac5b13b...
11d2f16417011e194b41113edcffcfac.jpg,.jpg,jpg,20.04,362,512,False,False,,,,,,,7b869223f9fbff60...
12481806845c08089f13552d30a5cc80.jpg,.jpg,jpg,35.82,513,686,False,False,,,,,,,75e48b3596a2bc43...
